hex_id,total_population
89411c81ad7ffff,47.0
89411c85097ffff,57.0
89411c82a17ffff,59.0
89410379dc7ffff,73.0
89411c800a7ffff,81.0
89410378647ffff,87.0
89411c82a3bffff,91.0
8941037b02fffff,103.0
89411c80927ffff,112.0
89411c85437ffff,117.0
89411c8030bffff,121.0
89410378643ffff,124.0
89411c80187ffff,124.0
8941037902bffff,135.0
89411c80d77ffff,136.0
89411c854c7ffff,139.0
89411c873cbffff,151.0
89410379e93ffff,152.0
89411c8cb67ffff,152.0
8941037b36fffff,154.0
89411c87443ffff,156.0
89411c8d82bffff,157.0
89411cb4197ffff,157.0
894103793abffff,158.0
8941037b34bffff,166.0
89411c873c3ffff,167.0
89411c82833ffff,171.0
89411c81127ffff,172.0
89411c829cbffff,176.0
89411c801dbffff,179.0
89410379633ffff,180.0
89411c80393ffff,187.0
89411c81eb7ffff,189.0
89411c854b7ffff,190.0
89411c85697ffff,191.0
89411c82a77ffff,192.0
894103795d7ffff,193.0
89411c82ab3ffff,194.0
89411c809c7ffff,201.0
894103790cbffff,205.0
89411c81e07ffff,206.0
8941037951bffff,207.0
89411cb6aabffff,207.0
89411c80ba3ffff,207.0
89411cb6aa7ffff,207.0
89410379003ffff,208.0
89411c81d9bffff,208.0
89411c80d9bffff,210.0
89411c8763bffff,212.0
89411c8286bffff,212.0
89411c80143ffff,216.0
89411c854cfffff,220.0
89411c85497ffff,222.0
89411c8735bffff,223.0
89411cb6b93ffff,226.0
89410379aabffff,227.0
89410379bdbffff,228.0
89411c8097bffff,228.0
8941037b307ffff,230.0
8941037b337ffff,233.0
89411c856d7ffff,233.0
89411c8d95bffff,236.0
8941037b3b7ffff,237.0
89410379a77ffff,237.0
89411c8767bffff,238.0
89411c80037ffff,239.0
89411c81e73ffff,242.0
89411c81a9bffff,244.0
89410379393ffff,244.0
89411c80db7ffff,245.0
89411cb6503ffff,246.0
89411c87343ffff,250.0
89410379053ffff,252.0
89411c82a2bffff,255.0
894103799cbffff,255.0
89411c80dc7ffff,256.0
89411c80987ffff,258.0
89411c80bb7ffff,260.0
89411c81a87ffff,260.0
89411c8284fffff,261.0
89411c8010fffff,261.0
89410379c27ffff,262.0
89411c81c43ffff,263.0
89410379c4bffff,263.0
89410379a3bffff,263.0
89411cb6943ffff,264.0
89410379287ffff,265.0
89411cb6863ffff,266.0
89411c8038bffff,266.0
89411cb6a03ffff,266.0
89410379637ffff,267.0
89411c81d57ffff,268.0
894103792c3ffff,270.0
89411c80dafffff,271.0
89411c82bd3ffff,271.0
8941037b16bffff,271.0
89411c8760fffff,272.0
89411c82a63ffff,273.0
89410379383ffff,274.0
89411c85487ffff,275.0
89410379ed7ffff,275.0
89411c80113ffff,276.0
89411c82a67ffff,277.0
89411c80d4fffff,278.0
89411c82883ffff,278.0
89411c8286fffff,279.0
89411c8299bffff,280.0
89411c876b7ffff,280.0
89411c872cbffff,280.0
89411c809d7ffff,280.0
89410379dcbffff,284.0
89411c82ab7ffff,286.0
89411c8c21bffff,288.0
89411c808afffff,288.0
89411c829dbffff,292.0
89411cb65afffff,292.0
89411c80377ffff,292.0
89411c818d7ffff,295.0
89411c81ab7ffff,295.0
89411c82bdbffff,297.0
89410379833ffff,298.0
8941037928fffff,299.0
89410379bc3ffff,301.0
89411cb45cfffff,301.0
89411c87633ffff,301.0
89411c82847ffff,304.0
89411c8745bffff,305.0
89411c856a7ffff,305.0
8941037868bffff,305.0
89411c81e87ffff,305.0
89411cb6a5bffff,306.0
89411c82c27ffff,306.0
89411c80153ffff,307.0
89411c82d4bffff,308.0
89411c8705bffff,310.0
89411c80917ffff,310.0
89411cb6867ffff,310.0
89411cb4577ffff,311.0
89411c81c4fffff,312.0
89411c801b3ffff,312.0
89411c8726fffff,312.0
89411c8c2afffff,312.0
89411c81883ffff,313.0
89410379307ffff,314.0
89411c818d3ffff,317.0
89410379c0bffff,318.0
89411c85453ffff,318.0
89411c82c2fffff,319.0
89410379bd7ffff,320.0
89411c8098bffff,320.0
89411c808abffff,320.0
89411c8017bffff,320.0
89411c8030fffff,321.0
89410379667ffff,321.0
89410379297ffff,321.0
89411c854d3ffff,321.0
89411cb6a43ffff,322.0
89411c8094fffff,323.0
894103786d3ffff,324.0
89411c81d43ffff,324.0
89411c80947ffff,325.0
89411c82873ffff,325.0
89411c829d7ffff,326.0
89411c80d47ffff,327.0
89411cb6957ffff,329.0
894103795d3ffff,329.0
89410379b9bffff,331.0
89411c82d5bffff,332.0
89411c8014fffff,332.0
89410379d4fffff,332.0
89411cb6a47ffff,334.0
89411c81a83ffff,334.0
89411c8031bffff,334.0
89411c82b77ffff,335.0
89411c82b6fffff,339.0
89411c872a3ffff,339.0
89411c8725bffff,341.0
89411c80367ffff,342.0
89411c82a27ffff,342.0
89411c82bd7ffff,342.0
89411c89d1bffff,343.0
89410379823ffff,343.0
89411c809cbffff,343.0
89411cb6a0bffff,345.0
89411c80027ffff,345.0
89411c81e97ffff,345.0
89411c872abffff,346.0
89411c82b7bffff,348.0
8941037958bffff,349.0
89410379ab7ffff,349.0
89411c80bafffff,350.0
89410379dcfffff,351.0
89411c81d13ffff,352.0
89411cb6873ffff,352.0
89410379ec3ffff,352.0
89411cb6a17ffff,353.0
89411c8ec8fffff,354.0
89411c80117ffff,354.0
8941037b3afffff,354.0
8941037b333ffff,355.0
89411cb6507ffff,355.0
89411cb6ab7ffff,356.0
89411c80943ffff,357.0
89411c854bbffff,358.0
89411cb4573ffff,359.0
894103798a3ffff,360.0
89411c81e3bffff,361.0
89411c829c3ffff,361.0
8941037938bffff,363.0
89411c80cb3ffff,363.0
89411c81bc7ffff,364.0
89411c854cbffff,364.0
894103792dbffff,364.0
8941037900fffff,364.0
89411c80cb7ffff,365.0
89411c87263ffff,365.0
89411c82b53ffff,366.0
894103798b7ffff,366.0
8941037869bffff,367.0
89410379d53ffff,367.0
89410379c77ffff,367.0
89411c81d1bffff,367.0
89411c80d6fffff,368.0
89410379077ffff,368.0
89410379c47ffff,368.0
89411c8768fffff,370.0
89411c80103ffff,370.0
89411c87607ffff,370.0
89411c81ea7ffff,371.0
89411c80933ffff,371.0
